id;name;sql_statement;created_by;created_ts;updated_by;updated_ts
e7454f61-49d9-4247-8bf6-dbedc31110b2;Helium Frozen;Industrial cyan reboot;lux;2023-08-03T06:26:28;algorithm;2023-08-03T09:56:16
08fc756b-91ad-4112-8610-dfdb065d9aa9;Northeast circuit vacuum;Unbranded Rubber Electric;Response;2023-08-02T17:37:14;the pitiful kelvin;2023-08-02T16:12:27
401be1ad-ca5c-42c7-916c-2bfb104a9e09;dolor jubilantly;violet;Aston Reggae partnerships;2023-08-03T10:56:51;bus Cotton Principal;2023-08-02T17:35:56
a0b366ad-57f7-4823-9de7-d42a40d799ee;stable;capacitor grim Orchestrator;Chips;2023-08-02T20:43:48;black Non;2023-08-03T04:02:55
11052bc9-d52c-4939-ba19-5d1b6331e6b3;Northeast qui override;female Associate deposit;Manager Response maroon;2023-08-02T17:07:26;Van;2023-08-03T10:31:22
48e914bd-3f06-4292-8716-11a2118591ce;Lead;software Islands disarm;refine;2023-08-02T17:30:21;Electric;2023-08-02T23:02:14
397a8b10-ac2c-4ee0-a03d-1c6999339f54;Cambridgeshire West strudel;displease;now Minivan;2023-08-02T20:32:13;World alarm;2023-08-02T18:23:00
367d031a-5c25-4f00-a5da-da5f0c3ffe27;boo Bacon;Electronics Modern male;litter;2023-08-02T17:29:08;Male parsing diaphragm;2023-08-03T09:28:19
e508b077-7a6e-4b9d-bb83-1db7a1adf1bf;female;above;East;2023-08-03T14:54:18;Arizona Chrysler;2023-08-03T06:09:59
e00a7d72-4f9f-41a2-a183-5053358b40c6;Group pish even;newton et;subtitle;2023-08-02T20:01:04;Singapore;2023-08-03T00:40:02
