id;name;description;definition;created_by;created_ts;updated_by;updated_ts
220b5b38-10d6-400a-8e61-0885b0344a5d;Mobility coulomb Cheese;Hybrid South Mobility;Hybrid incentivize;warrior Forks;2023-08-03T01:15:52;catalogue;2023-08-03T01:53:36
a101beb2-5381-4463-a3c1-9d8fddf7ca40;B2C Functionality saepe;matrix;gleaming enchanting;West;2023-08-03T12:50:19;West;2023-08-03T12:32:00
ed2ac06d-f9d4-480c-9288-676cfede6090;Identity Cheese only;Audi greatly Cambridgeshire;Garden Fresh Northwest;Card;2023-08-03T03:07:05;black Loan Buckinghamshire;2023-08-03T14:24:55
d99604b6-fc8b-47e1-b34f-a28daa2713cf;maroon Electronic;Diesel Chicken;zero Pizza Dynamic;Buckinghamshire;2023-08-02T18:10:10;after;2023-08-03T10:09:12
53f9f315-b99b-405e-bd7c-91b1deb953f5;Brandi Sausages Corporate;excepturi;easily female quo;Tasty Maryland;2023-08-02T16:10:05;transmitter Northwest;2023-08-02T21:57:54
76ac5e02-39c4-4d04-b09e-098deb72a867;Account;denim;Account;midst robust software;2023-08-03T04:55:14;Communications Administrator;2023-08-03T05:38:04
2b7fe313-6612-4dcb-8b18-18b233a0af31;stable Southwest;Hybrid;Quality transmit implore;bandwidth Architect;2023-08-02T15:35:02;synergies bleakly;2023-08-03T08:07:40
f5ada443-0522-44f1-a4a7-68902b8915e6;West;deposit Bedfordshire Account;past Hampshire;Gasoline;2023-08-02T21:11:45;mint Dynamic generate;2023-08-03T09:40:04
b21564fc-7daa-40ec-b16e-1581829d82c2;buoyant Practical;whereas compressing;dreamily Vicente Tennessee;Polestar lifetime bypass;2023-08-03T00:15:59;Calcium synthesizing Brooks;2023-08-02T22:03:50
5af3c84c-756e-4964-ba8f-8bb753dd0dd6;meh;Wooden;Marcelina;excitedly;2023-08-03T03:25:42;Hybrid meter;2023-08-02T17:18:55
