id;name;type;definition;created_by;created_ts;updated_by;updated_ts
c8cb0284-1d93-466d-981c-e64fc84c6179;sympathise online;DMA;reboot Small;Rubber network;2023-08-02T17:50:16;overeat male B2B;2023-08-02T23:35:50
532fd68c-724b-4381-9f3d-d225ff385719;outside Wooden;DWH;redundant West;Adventure noisy copying;2023-08-03T04:26:22;Fantastic throughput unless;2023-08-03T06:49:10
1d8f1059-62a2-4208-9228-e7d5f9d7588d;Towels Gasoline zowie;DMA;Pennsylvania;Audi;2023-08-03T02:32:49;copying Human;2023-08-02T17:37:12
1b6056f4-5040-42ae-8d44-7af316f6b990;circa;DWH;Direct salmon;Electric;2023-08-03T09:47:41;Ergonomic Connecticut Demigender;2023-08-03T07:00:26
46b139c4-f7a3-44db-9596-931bc1529ab2;Expressway;DWH;haptic male;deposit;2023-08-02T16:30:15;Buckinghamshire Country;2023-08-03T14:01:10
bc3ea0d6-5083-4ad5-a94e-b69e9cf3d1d7;Bedfordshire;DWH;oh however ick;Southwest;2023-08-03T01:54:14;Jewelery agile;2023-08-03T13:40:48
d1dfc000-04f5-4649-a859-e554e441e701;grow;DMA;Heights Comoros;migration bus Loan;2023-08-03T00:13:53;Lead grey Senior;2023-08-03T10:45:37
e9f33f2d-77d5-4842-9942-e057b9b09d03;swordfight;DMA;Recycled;Grocery systems;2023-08-02T23:34:32;woman generate;2023-08-03T01:49:34
e072a1a2-7ebf-4949-9833-02ddfc2371cd;black withdrawal aha;DMA;Montana;Account;2023-08-02T22:45:27;network;2023-08-02T21:15:33
750d36e5-1894-46fa-8917-5ff79e1b8a56;Folding Facilitator;DMA;Internal Soul quantifying;Hybrid Path Bronze;2023-08-03T12:59:16;male repurpose Pop;2023-08-03T14:56:37
